ID,Prob1
0, 0.65
1, 0.27
2, 0.52
3, 0.24
4, 0.07
5, 0.18
6, 0.34
7, 0.81
8, 0.63
9, 0.14
10, 0.61
11, 0.06
12, 0.46
13, 0.66
14, 0.21
15, 0.19
16, 0.32
17, 0.34
18, 0.16
19, 0.35
20, 0.38
21, 0.31
22, 0.41
23, 0.43
24, 0.15
25, 0.33
26, 0.41
27, 0.07
28, 0.15
29, 0.52
30, 0.15
31, 0.04
32, 0.65
33, 0.15
34, 0.28
35, 0.43
36, 0.17
37, 0.44
38, 0.50
39, 0.51
40, 0.35
41, 0.08
42, 0.39
43, 0.45
44, 0.65
45, 0.12
46, 0.45
47, 0.62
48, 0.47
49, 0.30
50, 0.76
51, 0.23
52, 0.66
53, 0.17
54, 0.56
55, 0.00
56, 0.80
57, 0.09
58, 0.07
59, 0.17
60, 0.33
61, 0.39
62, 0.19
63, 0.21
64, 0.30
65, 0.16
66, 0.92
67, 0.17
68, 0.29
69, 0.23
70, 0.85
71, 0.85
72, 0.75
73, 0.23
74, 0.09
75, 0.72
76, 0.02
77, 0.90
78, 0.04
79, 0.35
80, 0.37
81, 0.10
82, 0.04
83, 0.02
84, 0.28
85, 0.24
86, 0.53
87, 0.07
88, 0.06
89, 0.57
90, 0.21
91, 0.33
92, 0.27
93, 0.55
94, 0.27
95, 0.12
96, 0.47
97, 0.06
98, 0.12
99, 0.31
100, 0.01
101, 0.49
102, 0.77
103, 0.11
104, 0.35
105, 0.11
106, 0.24
107, 0.26
108, 0.24
109, 0.36
110, 0.40
111, 0.31
112, 0.13
113, 0.37
114, 0.30
115, 0.04
116, 0.16
117, 0.16
118, 0.19
119, 0.14
120, 0.21
121, 0.17
122, 0.71
123, 0.61
124, 0.20
125, 0.46
126, 0.53
127, 0.18
128, 0.33
129, 0.06
130, 0.33
131, 0.60
132, 0.42
133, 0.37
134, 0.08
135, 0.45
136, 0.14
137, 0.01
138, 0.35
139, 0.04
140, 0.05
141, 0.59
142, 0.70
143, 0.12
144, 0.61
145, 0.35
146, 0.28
147, 0.10
148, 0.34
149, 0.85
150, 0.75
151, 0.21
152, 0.75
153, 0.52
154, 0.97
155, 0.17
156, 0.23
157, 0.06
158, 0.06
159, 0.14
160, 0.64
161, 0.03
162, 0.09
163, 0.05
164, 0.12
165, 0.34
166, 0.07
167, 0.42
168, 0.10
169, 0.17
170, 0.08
171, 0.76
172, 0.21
173, 0.52
174, 0.34
175, 0.15
176, 0.06
177, 0.13
178, 0.64
179, 0.11
180, 0.34
181, 0.66
182, 0.31
183, 0.21
184, 0.76
185, 0.44
186, 0.29
187, 0.72
188, 0.11
189, 0.39
190, 0.91
191, 0.04
192, 0.52
193, 0.06
194, 0.19
195, 0.71
196, 0.01
197, 0.19
198, 0.38
199, 0.11
200, 0.10
201, 0.18
202, 0.75
203, 0.11
204, 0.40
205, 0.13
206, 0.19
207, 0.39
208, 0.13
209, 0.67
210, 0.74
211, 0.24
212, 0.81
213, 0.57
214, 0.42
215, 0.22
216, 0.59
217, 0.03
218, 0.31
219, 0.43
220, 0.21
221, 0.13
222, 0.07
223, 0.76
224, 0.68
225, 0.20
226, 0.43
227, 0.51
228, 0.53
229, 0.10
230, 0.09
231, 0.63
232, 0.43
233, 0.08
234, 0.15
235, 0.35
236, 0.13
237, 0.35
238, 0.63
239, 0.54
240, 0.33
241, 0.07
242, 0.19
243, 0.27
244, 0.10
245, 0.13
246, 0.28
247, 0.84
248, 0.48
249, 0.17
250, 0.94
251, 0.36
252, 0.07
253, 0.09
254, 0.35
255, 0.02
256, 0.57
257, 0.05
258, 0.90
259, 0.10
260, 0.80
261, 0.13
262, 0.13
263, 0.09
264, 0.07
265, 0.26
266, 0.04
267, 0.54
268, 0.07
269, 0.28
270, 0.03
271, 0.02
272, 0.25
273, 0.38
274, 0.64
275, 0.36
276, 0.79
277, 0.81
278, 0.42
279, 0.16
280, 0.75
281, 0.05
282, 0.08
283, 0.47
284, 0.01
285, 0.54
286, 0.63
287, 0.20
288, 0.29
289, 0.64
290, 0.06
291, 0.17
292, 0.29
293, 0.42
294, 0.13
295, 0.05
296, 0.36
297, 0.08
298, 0.49
299, 0.69
300, 0.15
301, 0.13
302, 0.33
303, 0.26
304, 0.41
305, 0.56
306, 0.24
307, 0.40
308, 0.10
309, 0.87
310, 0.39
311, 0.26
312, 0.30
313, 0.15
314, 0.65
315, 0.22
316, 0.00
317, 0.77
318, 0.31
319, 0.28
320, 0.29
321, 0.38
322, 0.27
323, 0.58
324, 0.21
325, 0.50
326, 0.54
327, 0.58
328, 0.56
329, 0.24
330, 0.14
331, 0.55
332, 0.59
333, 0.63
334, 0.53
335, 0.10
336, 0.58
337, 0.73
338, 0.32
339, 0.19
340, 0.44
341, 0.11
342, 0.02
343, 0.10
344, 0.29
345, 0.49
346, 0.51
347, 0.00
348, 0.04
349, 0.56
350, 0.20
351, 0.47
352, 0.15
353, 0.65
354, 0.29
355, 0.12
356, 0.10
357, 0.41
358, 0.79
359, 0.28
360, 0.41
361, 0.05
362, 0.37
363, 0.61
364, 0.36
365, 0.71
366, 0.20
367, 0.43
368, 0.22
369, 0.58
370, 0.12
371, 0.20
372, 0.22
373, 0.31
374, 0.64
375, 0.10
376, 0.68
377, 0.03
378, 0.40
379, 0.38
380, 0.31
381, 0.42
382, 0.43
383, 0.62
384, 0.43
385, 0.35
386, 0.20
387, 0.36
388, 0.22
389, 0.37
390, 0.12
391, 0.47
392, 0.61
393, 0.29
394, 0.40
395, 0.54
396, 0.72
397, 0.14
398, 0.27
399, 0.86
400, 0.54
401, 0.39
402, 0.01
403, 0.04
404, 0.69
405, 0.19
406, 0.47
407, 0.15
408, 0.16
409, 0.28
410, 0.09
411, 0.69
412, 0.05
413, 0.07
414, 0.15
415, 0.10
416, 0.55
417, 0.15
418, 0.13
419, 0.73
420, 0.39
421, 0.34
422, 0.33
423, 0.11
424, 0.33
425, 0.38
426, 0.19
427, 0.36
428, 0.25
429, 0.09
430, 0.32
431, 0.75
432, 0.04
433, 0.30
434, 0.53
435, 0.17
436, 0.63
437, 0.71
438, 0.29
439, 0.11
440, 0.49
441, 0.11
442, 0.63
443, 0.23
444, 0.06
445, 0.18
446, 0.51
447, 0.04
448, 0.91
449, 0.36
450, 0.41
451, 0.80
452, 0.82
453, 0.35
454, 0.30
455, 0.23
456, 0.81
457, 0.34
458, 0.76
459, 0.28
460, 0.54
461, 0.09
462, 0.16
463, 0.29
464, 0.24
465, 0.00
466, 0.15
467, 0.50
468, 0.13
469, 0.11
470, 0.50
471, 0.23
472, 0.31
473, 0.45
474, 0.20
475, 0.29
476, 0.20
477, 0.11
478, 0.36
479, 0.26
480, 0.35
481, 0.07
482, 0.21
483, 0.58
484, 0.11
485, 0.81
486, 0.36
487, 0.80
488, 0.53
489, 0.63
490, 0.08
491, 0.11
492, 0.07
493, 0.29
494, 0.36
495, 0.29
496, 0.86
497, 0.64
498, 0.94
499, 0.47
500, 0.14
501, 0.17
502, 0.29
503, 0.09
504, 0.58
505, 0.37
506, 0.49
507, 0.06
508, 0.05
509, 0.34
510, 0.32
511, 0.35
512, 0.09
513, 0.04
514, 0.27
515, 0.40
516, 0.07
517, 0.54
518, 0.44
519, 0.82
520, 0.53
521, 0.10
522, 0.20
523, 0.44
524, 0.23
525, 0.55
526, 0.17
527, 0.31
528, 0.45
529, 0.15
530, 0.29
531, 0.57
532, 0.42
533, 0.17
534, 0.77
535, 0.65
536, 0.26
537, 0.17
538, 0.22
539, 0.21
540, 0.03
541, 0.01
542, 0.47
543, 0.26
544, 0.29
545, 0.56
