ID,Prob1
0, 0.37
1, 0.30
2, 0.56
3, 0.20
4, 0.08
5, 0.27
6, 0.36
7, 0.87
8, 0.83
9, 0.12
10, 0.44
11, 0.17
12, 0.32
13, 0.63
14, 0.37
15, 0.18
16, 0.42
17, 0.09
18, 0.15
19, 0.37
20, 0.33
21, 0.31
22, 0.37
23, 0.25
24, 0.19
25, 0.32
26, 0.31
27, 0.03
28, 0.16
29, 0.86
30, 0.05
31, 0.10
32, 0.19
33, 0.23
34, 0.38
35, 0.71
36, 0.08
37, 0.67
38, 0.40
39, 0.59
40, 0.27
41, 0.03
42, 0.47
43, 0.51
44, 0.37
45, 0.26
46, 0.27
47, 0.56
48, 0.44
49, 0.24
50, 0.82
51, 0.17
52, 0.52
53, 0.27
54, 0.53
55, 0.07
56, 0.73
57, 0.22
58, 0.22
59, 0.22
60, 0.31
61, 0.39
62, 0.01
63, 0.63
64, 0.11
65, 0.28
66, 0.84
67, 0.04
68, 0.25
69, 0.20
70, 0.85
71, 0.90
72, 0.73
73, 0.53
74, 0.09
75, 0.63
76, 0.11
77, 0.69
78, 0.22
79, 0.37
80, 0.32
81, 0.14
82, 0.19
83, 0.15
84, 0.43
85, 0.19
86, 0.69
87, 0.12
88, 0.17
89, 0.63
90, 0.25
91, 0.20
92, 0.21
93, 0.62
94, 0.18
95, 0.17
96, 0.36
97, 0.08
98, 0.14
99, 0.69
100, 0.08
101, 0.49
102, 0.47
103, 0.09
104, 0.28
105, 0.21
106, 0.08
107, 0.16
108, 0.20
109, 0.46
110, 0.32
111, 0.28
112, 0.09
113, 0.30
114, 0.30
115, 0.08
116, 0.14
117, 0.23
118, 0.29
119, 0.41
120, 0.17
121, 0.16
122, 0.73
123, 0.65
124, 0.21
125, 0.53
126, 0.27
127, 0.33
128, 0.34
129, 0.08
130, 0.22
131, 0.65
132, 0.26
133, 0.20
134, 0.08
135, 0.28
136, 0.20
137, 0.05
138, 0.32
139, 0.01
140, 0.08
141, 0.49
142, 0.69
143, 0.06
144, 0.55
145, 0.21
146, 0.44
147, 0.09
148, 0.32
149, 0.61
150, 0.72
151, 0.16
152, 0.58
153, 0.22
154, 0.89
155, 0.23
156, 0.49
157, 0.14
158, 0.08
159, 0.13
160, 0.54
161, 0.09
162, 0.16
163, 0.10
164, 0.21
165, 0.28
166, 0.09
167, 0.48
168, 0.08
169, 0.12
170, 0.09
171, 0.70
172, 0.05
173, 0.20
174, 0.25
175, 0.35
176, 0.33
177, 0.27
178, 0.61
179, 0.20
180, 0.47
181, 0.74
182, 0.33
183, 0.20
184, 0.70
185, 0.54
186, 0.42
187, 0.73
188, 0.14
189, 0.40
190, 0.97
191, 0.23
192, 0.84
193, 0.12
194, 0.29
195, 0.46
196, 0.10
197, 0.16
198, 0.22
199, 0.12
200, 0.18
201, 0.17
202, 0.70
203, 0.23
204, 0.78
205, 0.13
206, 0.18
207, 0.43
208, 0.21
209, 0.63
210, 0.44
211, 0.13
212, 0.58
213, 0.47
214, 0.47
215, 0.17
216, 0.47
217, 0.18
218, 0.11
219, 0.44
220, 0.14
221, 0.45
222, 0.08
223, 0.65
224, 0.53
225, 0.18
226, 0.54
227, 0.57
228, 0.20
229, 0.15
230, 0.29
231, 0.71
232, 0.43
233, 0.13
234, 0.21
235, 0.49
236, 0.21
237, 0.29
238, 0.66
239, 0.67
240, 0.41
241, 0.21
242, 0.26
243, 0.27
244, 0.16
245, 0.04
246, 0.20
247, 0.65
248, 0.38
249, 0.13
250, 0.78
251, 0.28
252, 0.03
253, 0.15
254, 0.22
255, 0.05
256, 0.41
257, 0.21
258, 0.95
259, 0.07
260, 0.83
261, 0.14
262, 0.36
263, 0.06
264, 0.18
265, 0.29
266, 0.18
267, 0.54
268, 0.18
269, 0.10
270, 0.03
271, 0.08
272, 0.23
273, 0.10
274, 0.68
275, 0.19
276, 0.85
277, 0.84
278, 0.30
279, 0.15
280, 0.51
281, 0.11
282, 0.13
283, 0.31
284, 0.17
285, 0.64
286, 0.34
287, 0.32
288, 0.32
289, 0.30
290, 0.14
291, 0.26
292, 0.25
293, 0.45
294, 0.07
295, 0.08
296, 0.38
297, 0.02
298, 0.22
299, 0.71
300, 0.20
301, 0.27
302, 0.32
303, 0.38
304, 0.25
305, 0.42
306, 0.45
307, 0.26
308, 0.13
309, 0.74
310, 0.26
311, 0.23
312, 0.34
313, 0.17
314, 0.63
315, 0.44
316, 0.02
317, 0.57
318, 0.28
319, 0.32
320, 0.32
321, 0.40
322, 0.26
323, 0.49
324, 0.23
325, 0.32
326, 0.31
327, 0.39
328, 0.30
329, 0.31
330, 0.11
331, 0.53
332, 0.38
333, 0.32
334, 0.36
335, 0.14
336, 0.61
337, 0.91
338, 0.29
339, 0.11
340, 0.44
341, 0.14
342, 0.09
343, 0.02
344, 0.32
345, 0.58
346, 0.70
347, 0.05
348, 0.16
349, 0.35
350, 0.07
351, 0.37
352, 0.20
353, 0.39
354, 0.39
355, 0.18
356, 0.05
357, 0.50
358, 0.19
359, 0.17
360, 0.33
361, 0.10
362, 0.21
363, 0.60
364, 0.20
365, 0.84
366, 0.30
367, 0.34
368, 0.27
369, 0.35
370, 0.13
371, 0.19
372, 0.30
373, 0.22
374, 0.68
375, 0.07
376, 0.57
377, 0.11
378, 0.71
379, 0.20
380, 0.51
381, 0.19
382, 0.21
383, 0.79
384, 0.32
385, 0.58
386, 0.21
387, 0.39
388, 0.16
389, 0.24
390, 0.06
391, 0.31
392, 0.63
393, 0.24
394, 0.38
395, 0.30
396, 0.52
397, 0.34
398, 0.29
399, 0.81
400, 0.47
401, 0.35
402, 0.05
403, 0.13
404, 0.46
405, 0.10
406, 0.57
407, 0.12
408, 0.19
409, 0.29
410, 0.05
411, 0.74
412, 0.21
413, 0.24
414, 0.20
415, 0.11
416, 0.27
417, 0.20
418, 0.12
419, 0.52
420, 0.32
421, 0.24
422, 0.62
423, 0.28
424, 0.27
425, 0.26
426, 0.15
427, 0.08
428, 0.17
429, 0.06
430, 0.28
431, 0.95
432, 0.13
433, 0.27
434, 0.64
435, 0.25
436, 0.54
437, 0.62
438, 0.15
439, 0.12
440, 0.33
441, 0.16
442, 0.67
443, 0.25
444, 0.14
445, 0.04
446, 0.47
447, 0.19
448, 0.89
449, 0.32
450, 0.08
451, 0.77
452, 0.80
453, 0.48
454, 0.28
455, 0.06
456, 0.84
457, 0.40
458, 0.30
459, 0.24
460, 0.73
461, 0.11
462, 0.08
463, 0.41
464, 0.25
465, 0.04
466, 0.28
467, 0.52
468, 0.28
469, 0.34
470, 0.48
471, 0.55
472, 0.31
473, 0.27
474, 0.32
475, 0.40
476, 0.31
477, 0.14
478, 0.14
479, 0.18
480, 0.09
481, 0.18
482, 0.37
483, 0.32
484, 0.15
485, 0.74
486, 0.61
487, 0.84
488, 0.54
489, 0.62
490, 0.22
491, 0.21
492, 0.07
493, 0.06
494, 0.59
495, 0.24
496, 0.95
497, 0.74
498, 0.84
499, 0.41
500, 0.39
501, 0.30
502, 0.35
503, 0.24
504, 0.61
505, 0.22
506, 0.50
507, 0.03
508, 0.22
509, 0.17
510, 0.36
511, 0.15
512, 0.29
513, 0.03
514, 0.09
515, 0.50
516, 0.17
517, 0.37
518, 0.40
519, 0.88
520, 0.87
521, 0.10
522, 0.34
523, 0.48
524, 0.18
525, 0.41
526, 0.20
527, 0.42
528, 0.54
529, 0.28
530, 0.29
531, 0.47
532, 0.38
533, 0.17
534, 0.86
535, 0.46
536, 0.29
537, 0.29
538, 0.27
539, 0.50
540, 0.10
541, 0.02
542, 0.71
543, 0.46
544, 0.16
545, 0.68
546, 0.48
547, 0.18
548, 0.80
549, 0.24
550, 0.22
551, 0.23
552, 0.83
553, 0.17
554, 0.19
555, 0.13
556, 0.16
557, 0.21
558, 0.40
559, 0.08
560, 0.16
561, 0.27
562, 0.10
563, 0.26
564, 0.27
565, 0.42
566, 0.07
567, 0.60
568, 0.27
569, 0.19
570, 0.37
571, 0.14
572, 0.12
573, 0.43
574, 0.52
575, 0.44
576, 0.15
577, 0.71
578, 0.27
579, 0.37
580, 0.64
581, 0.15
582, 0.58
583, 0.63
584, 0.06
585, 0.20
586, 0.79
587, 0.47
588, 0.09
589, 0.86
590, 0.06
591, 0.11
592, 0.86
593, 0.45
594, 0.27
595, 0.33
596, 0.44
597, 0.32
598, 0.22
599, 0.31
600, 0.35
601, 0.27
602, 0.27
603, 0.81
604, 0.07
605, 0.08
606, 0.44
607, 0.04
608, 0.38
609, 0.56
610, 0.54
611, 0.58
612, 0.40
613, 0.72
614, 0.29
615, 0.06
616, 0.38
617, 0.12
618, 0.04
619, 0.17
