ID,Prob1
0, 0.54
1, 0.28
2, 0.53
3, 0.21
4, 0.21
5, 0.14
6, 0.37
7, 0.87
8, 0.69
9, 0.10
10, 0.49
11, 0.12
12, 0.41
13, 0.67
14, 0.27
15, 0.06
16, 0.41
17, 0.23
18, 0.27
19, 0.31
20, 0.38
21, 0.31
22, 0.50
23, 0.42
24, 0.13
25, 0.30
26, 0.38
27, 0.05
28, 0.11
29, 0.64
30, 0.03
31, 0.07
32, 0.44
33, 0.20
34, 0.37
35, 0.55
36, 0.09
37, 0.51
38, 0.45
39, 0.46
40, 0.35
41, 0.00
42, 0.38
43, 0.46
44, 0.50
45, 0.13
46, 0.38
47, 0.68
48, 0.46
49, 0.25
50, 0.81
51, 0.22
52, 0.47
53, 0.21
54, 0.51
55, -0.06
56, 0.76
57, 0.20
58, 0.12
59, 0.21
60, 0.34
61, 0.46
62, 0.09
63, 0.25
64, 0.05
65, 0.22
66, 0.91
67, 0.09
68, 0.25
69, 0.14
70, 0.91
71, 0.88
72, 0.76
73, 0.22
74, 0.10
75, 0.61
76, 0.05
77, 0.78
78, 0.12
79, 0.30
80, 0.38
81, 0.07
82, 0.05
83, 0.05
84, 0.28
85, 0.21
86, 0.59
87, 0.07
88, 0.10
89, 0.69
90, 0.21
91, 0.24
92, 0.30
93, 0.59
94, 0.21
95, 0.20
96, 0.37
97, 0.08
98, 0.11
99, 0.52
100, 0.06
101, 0.50
102, 0.71
103, 0.11
104, 0.40
105, 0.13
106, 0.21
107, 0.17
108, 0.24
109, 0.35
110, 0.36
111, 0.34
112, 0.07
113, 0.35
114, 0.21
115, 0.08
116, 0.18
117, 0.16
118, 0.22
119, 0.18
120, 0.28
121, 0.19
122, 0.64
123, 0.55
124, 0.30
125, 0.36
126, 0.50
127, 0.32
128, 0.36
129, 0.07
130, 0.33
131, 0.68
132, 0.27
133, 0.22
134, 0.11
135, 0.42
136, 0.09
137, 0.04
138, 0.36
139, -0.09
140, 0.03
141, 0.44
142, 0.73
143, 0.09
144, 0.68
145, 0.21
146, 0.30
147, 0.13
148, 0.36
149, 0.76
150, 0.84
151, 0.18
152, 0.70
153, 0.33
154, 0.96
155, 0.20
156, 0.32
157, 0.07
158, 0.07
159, 0.29
160, 0.47
161, -0.00
162, 0.31
163, 0.03
164, 0.13
165, 0.36
166, 0.05
167, 0.42
168, 0.07
169, 0.12
170, 0.12
171, 0.77
172, 0.10
173, 0.55
174, 0.35
175, 0.23
176, 0.19
177, 0.20
178, 0.62
179, 0.15
180, 0.39
181, 0.75
182, 0.28
183, 0.29
184, 0.69
185, 0.45
186, 0.37
187, 0.73
188, 0.05
189, 0.37
190, 1.03
191, 0.14
192, 0.66
193, 0.09
194, 0.20
195, 0.66
196, 0.01
197, 0.21
198, 0.35
199, 0.13
200, 0.14
201, 0.20
202, 0.78
203, 0.13
204, 0.44
