ID,Prob1
0, 0.49
1, 0.26
2, 0.51
3, 0.21
4, 0.10
5, 0.21
6, 0.34
7, 0.82
8, 0.73
9, 0.12
10, 0.52
11, 0.12
12, 0.39
13, 0.65
14, 0.29
15, 0.17
16, 0.36
17, 0.21
18, 0.16
19, 0.39
20, 0.36
21, 0.31
22, 0.39
23, 0.36
24, 0.16
25, 0.32
26, 0.37
27, 0.05
28, 0.16
29, 0.74
30, 0.08
31, 0.09
32, 0.44
33, 0.17
34, 0.34
35, 0.60
36, 0.14
37, 0.57
38, 0.47
39, 0.54
40, 0.32
41, 0.05
42, 0.36
43, 0.50
44, 0.51
45, 0.18
46, 0.32
47, 0.66
48, 0.45
49, 0.29
50, 0.79
51, 0.19
52, 0.53
53, 0.21
54, 0.52
55, 0.04
56, 0.76
57, 0.16
58, 0.16
59, 0.20
60, 0.34
61, 0.40
62, 0.10
63, 0.45
64, 0.22
65, 0.21
66, 0.89
67, 0.12
68, 0.24
69, 0.18
70, 0.87
71, 0.87
72, 0.72
73, 0.38
74, 0.08
75, 0.68
76, 0.06
77, 0.79
78, 0.12
79, 0.34
80, 0.34
81, 0.12
82, 0.12
83, 0.11
84, 0.32
85, 0.21
86, 0.62
87, 0.08
88, 0.10
89, 0.63
90, 0.24
91, 0.27
92, 0.27
93, 0.60
94, 0.24
95, 0.15
96, 0.44
97, 0.07
98, 0.14
99, 0.55
100, 0.05
101, 0.49
102, 0.61
103, 0.10
104, 0.33
105, 0.15
106, 0.18
107, 0.24
108, 0.25
109, 0.41
110, 0.35
111, 0.29
112, 0.10
113, 0.33
114, 0.32
115, 0.06
116, 0.16
117, 0.20
118, 0.25
119, 0.28
120, 0.16
121, 0.18
122, 0.74
123, 0.62
124, 0.21
125, 0.50
126, 0.45
127, 0.24
128, 0.33
129, 0.06
130, 0.31
131, 0.62
132, 0.32
133, 0.31
134, 0.08
135, 0.38
136, 0.18
137, 0.03
138, 0.31
139, 0.01
140, 0.07
141, 0.52
142, 0.66
143, 0.07
144, 0.56
145, 0.27
146, 0.38
147, 0.10
148, 0.31
149, 0.72
150, 0.73
151, 0.17
152, 0.67
153, 0.37
154, 0.93
155, 0.18
156, 0.36
157, 0.09
158, 0.11
159, 0.13
160, 0.57
161, 0.05
162, 0.15
163, 0.09
164, 0.17
165, 0.31
166, 0.08
167, 0.42
168, 0.08
169, 0.16
170, 0.09
171, 0.71
172, 0.14
173, 0.34
174, 0.24
175, 0.26
176, 0.20
177, 0.20
178, 0.61
179, 0.14
180, 0.44
181, 0.73
182, 0.28
183, 0.22
184, 0.72
185, 0.49
186, 0.36
187, 0.73
188, 0.12
189, 0.38
190, 0.96
191, 0.13
192, 0.68
193, 0.11
194, 0.26
195, 0.61
196, 0.07
197, 0.18
198, 0.25
199, 0.11
200, 0.14
201, 0.17
202, 0.76
203, 0.14
204, 0.61
205, 0.15
206, 0.17
207, 0.40
208, 0.17
209, 0.65
210, 0.56
211, 0.22
212, 0.72
213, 0.53
214, 0.43
215, 0.24
216, 0.51
217, 0.10
218, 0.18
219, 0.45
220, 0.17
221, 0.28
222, 0.06
223, 0.72
224, 0.56
225, 0.18
226, 0.48
227, 0.55
228, 0.38
229, 0.13
230, 0.19
231, 0.68
232, 0.44
233, 0.12
234, 0.18
235, 0.46
236, 0.18
237, 0.33
238, 0.67
239, 0.57
240, 0.37
241, 0.15
242, 0.25
243, 0.24
244, 0.16
245, 0.08
246, 0.24
247, 0.72
248, 0.41
249, 0.12
250, 0.87
251, 0.34
252, 0.05
253, 0.12
254, 0.28
255, 0.03
256, 0.48
257, 0.12
258, 0.93
259, 0.08
260, 0.79
261, 0.15
262, 0.24
263, 0.07
264, 0.12
265, 0.27
266, 0.10
267, 0.54
268, 0.13
269, 0.22
270, 0.05
271, 0.05
272, 0.26
273, 0.24
274, 0.66
275, 0.23
276, 0.83
277, 0.86
278, 0.33
279, 0.19
280, 0.67
281, 0.10
